task_id,processed_by,latency,type
0,Edge1,200,Partial (70%)
1,Edge1,200,Partial (70%)
2,Edge1,200,Partial (70%)
3,Edge1,200,Partial (70%)
4,Edge1,200,Partial (70%)
5,Edge1,200,Partial (70%)
6,Edge1,200,Partial (70%)
7,Edge1,200,Partial (70%)
8,Edge1,200,Partial (70%)
9,Edge1,200,Partial (70%)
10,Edge1,200,Partial (70%)
11,Edge1,200,Partial (70%)
12,Edge1,200,Partial (70%)
13,Edge1,200,Partial (70%)
14,Edge1,200,Partial (70%)
15,Edge1,200,Partial (70%)
16,Edge1,200,Partial (70%)
17,Edge1,200,Partial (70%)
18,Edge1,200,Partial (70%)
19,Edge1,200,Partial (70%)
20,Edge1,200,Partial (70%)
21,Edge1,200,Partial (70%)
22,Edge1,200,Partial (70%)
23,Edge1,200,Partial (70%)
